model,quantization,gpu_memory_gb,benchmark,tokens,cache_capacity,total_experts,cache_pct,predictor_ms,layer_compute_ms,transfer_ms,baseline_latency_ms,baseline_hit_rate,baseline_misses,K6_latency_ms,K6_hit_rate,K6_misses,K6_evictions,K6_total_prefetches,K6_dedup_skipped,K6_wasted_prefetches,K6_waste_rate,K6_speedup,K6_miss_reduction,K6_hit_rate_gain,K8_latency_ms,K8_hit_rate,K8_misses,K8_evictions,K8_total_prefetches,K8_dedup_skipped,K8_wasted_prefetches,K8_waste_rate,K8_speedup,K8_miss_reduction,K8_hit_rate_gain,K10_latency_ms,K10_hit_rate,K10_misses,K10_evictions,K10_total_prefetches,K10_dedup_skipped,K10_wasted_prefetches,K10_waste_rate,K10_speedup,K10_miss_reduction,K10_hit_rate_gain
deepseek_moe_16b,8bit,16,mmlu,120,1053,1792,0.5876116071428571,0.46499318367353193,79.03951053266172,50.0,3435.3167843818655,0.8393518518518519,3123,2413.2882670077183,0.9670781893004116,640,4131,4455,65950,1918,0.4305274971941639,1.4235003879753576,4.8796875,0.12772633744855966,2382.871600341052,0.9708333333333333,567,6336,6733,86496,3841,0.5704737858309817,1.4416709586409024,5.507936507936508,0.13148148148148142,2415.7882670077183,0.9667695473251029,646,9377,9695,105187,6272,0.6469314079422382,1.4220272659230073,4.8343653250774,0.127417695473251
deepseek_moe_16b,8bit,16,wikitext_test,256,1053,1792,0.5876116071428571,0.49399585166463145,69.33737008880686,50.0,3779.726179897785,0.7644917052469136,9767,2265.1343803927302,0.953125,1944,15037,14057,135420,5703,0.40570534253396884,1.6686542805652238,5.024176954732511,0.18863329475308643,2206.7359428927302,0.9603346836419753,1645,20167,19486,177501,10401,0.533767833316227,1.712813076739521,5.937386018237082,0.1958429783950617,2215.1343803927302,0.9592978395061729,1688,24953,24229,217386,15037,0.6206199182797474,1.706319135016839,5.786137440758294,0.1948061342592593
deepseek_moe_16b,8bit,32,gsm8k,112,1792,1792,1.0,0.47025422082731017,80.6811105410258,50.0,2893.568556036268,0.9117063492063492,1602,2260.729705712891,0.9914021164021164,156,0,1472,64245,501,0.34035326086956524,1.2799268080231732,10.26923076923077,0.07969576719576721,2238.4082771414623,0.994157848324515,106,0,1526,85844,734,0.48099606815203144,1.2926902502931557,15.11320754716981,0.08245149911816585,2233.9439914271766,0.9947089947089947,96,0,1543,107219,840,0.5443940375891121,1.295273546311107,16.6875,0.08300264550264547
deepseek_moe_16b,8bit,32,mmlu,120,1792,1792,1.0,0.46415762937869187,77.86855937816479,50.0,2752.0344365437827,0.9198045267489712,1559,2193.3166925370074,0.9903292181069959,188,0,1427,69032,578,0.4050455501051156,1.2547364664245122,8.292553191489361,0.07052469135802475,2164.15002587034,0.9939300411522634,118,0,1514,92200,843,0.5568031704095112,1.2716467914173453,13.211864406779661,0.07412551440329218,2156.2333592036734,0.9949074074074075,99,0,1536,115196,956,0.6223958333333334,1.2763156755724003,15.747474747474747,0.07510288065843629
deepseek_moe_16b,8bit,32,wikitext_test,256,1792,1792,1.0,0.49187436841290305,69.16860455274582,50.0,2186.888260424137,0.9605758101851852,1635,1916.1844933712857,0.9956356095679012,181,0,1458,148944,575,0.3943758573388203,1.1412722877099282,9.033149171270718,0.03505979938271597,1903.2938683712857,0.9972270447530864,115,0,1524,198815,813,0.5334645669291339,1.14900189443448,14.217391304347826,0.0366512345679012,1899.9735558712857,0.9976369598765432,98,0,1541,248488,934,0.6060999351070734,1.151009840987644,16.683673469387756,0.037061149691357986
deepseek_moe_16b,8bit,4,gsm8k,112,29,1792,0.016183035714285716,0.4661570372128928,81.91706303755443,50.0,10311.31427344254,5.511463844797178e-05,18143,8989.07908487586,0.1648478835978836,15153,38432,23219,24996,5886,0.25349928937508076,1.1470935093664203,1.1973206625750676,0.16479276895943562,8955.150513447288,0.16903659611992947,15077,38432,23295,23868,6717,0.2883451384417257,1.1514395272261255,1.2033561053259931,0.16898148148148148,8945.32908487586,0.17024911816578484,15055,38411,23296,23525,7073,0.3036143543956044,1.152703737962664,1.205114579873796,0.17019400352733685
deepseek_moe_16b,8bit,4,mmlu,120,29,1792,0.016183035714285716,0.4517890359102576,78.4520496836415,50.0,10217.788674791653,5.1440329218106995e-05,19439,8768.320312094564,0.18050411522633744,15931,40889,24898,24671,6965,0.27974134468632017,1.1653074147733595,1.2201996108216684,0.18045267489711933,8745.820312094564,0.18328189300411524,15877,40897,24960,23431,7795,0.31229967948717946,1.168305351604527,1.2243496882282547,0.18323045267489713,8719.98697876123,0.18647119341563786,15815,40835,24960,23120,8102,0.324599358974359,1.171766506037054,1.2291495415744547,0.18641975308641975
deepseek_moe_16b,8bit,4,wikitext_test,256,29,1792,0.016183035714285716,0.4751146688574442,69.25286762802689,50.0,9969.632113456728,2.4112654320987653e-05,41471,8577.57739701588,0.17346643518518517,34278,87425,53087,54364,15059,0.2836664343436246,1.162289962772605,1.2098430480191376,0.1734423225308642,8524.25708451588,0.18004918981481483,34005,87312,53247,51459,16663,0.3129378180930381,1.1695602343536,1.2195559476547566,0.18002507716049385,8497.69458451588,0.18332851080246915,33869,87177,53248,50796,17261,0.3241624098557692,1.173216101649846,1.2244530396527797,0.18330439814814817
deepseek_moe_16b,8bit,8,gsm8k,112,370,1792,0.20647321428571427,0.46189985348394624,81.1477120010941,50.0,7020.006081172398,0.40382495590828926,10817,3048.995234359322,0.8956128747795414,1894,17256,15643,47419,6118,0.3911014511283002,2.3023998207880094,5.711193241816262,0.49178791887125217,2894.0845200736076,0.9147376543209876,1547,20545,19279,58465,9989,0.5181285336376368,2.4256396219533536,6.9922430510665805,0.5109126984126984,2948.5488057878933,0.9080136684303352,1669,23312,21924,61552,12903,0.5885331143951834,2.380834282746951,6.481126423007789,0.5041887125220459
deepseek_moe_16b,8bit,8,mmlu,120,370,1792,0.20647321428571427,0.4512272587184001,78.33279645442963,50.0,7116.652170936267,0.38251028806584364,12004,3111.75197358833,0.8784465020576132,2363,20403,18321,48244,7266,0.396594072375962,2.287024233081684,5.0799830723656365,0.49593621399176957,2980.0853069216632,0.8947016460905349,2047,23946,22180,56619,11173,0.5037421100090171,2.3880699503490224,5.86419149975574,0.5121913580246913,3071.75197358833,0.8833847736625514,2267,26159,24173,58023,13457,0.5566954867000372,2.316805598930829,5.29510366122629,0.5008744855967078
deepseek_moe_16b,8bit,8,wikitext_test,256,370,1792,0.20647321428571427,0.489991110611569,69.54328780262558,50.0,6812.434395670891,0.39076967592592593,25266,2845.586030657403,0.8821373456790124,4888,42143,37536,105182,15690,0.4179987212276215,2.394035647587518,5.1689852700491,0.49136766975308643,2693.828218157403,0.9008728780864198,4111,48888,45058,127800,23776,0.5276754405432997,2.528904534354697,6.145949890537582,0.5101032021604939,2787.773530657403,0.8892746913580247,4592,54980,50669,132927,29853,0.5891768142256607,2.443682860445413,5.502177700348432,0.4985050154320988
deepseek_moe_16b,fp16,16,gsm8k,112,370,1792,0.20647321428571427,0.4172065188349397,16.244308147165512,50.0,5264.042748544898,0.404265873015873,10809,2155.664467410587,0.7894069664902998,3821,12284,8744,6712,1837,0.2100869167429094,2.4419583047950577,2.8288406176393615,0.3851410934744268,1867.2716102677296,0.8250110229276896,3175,15228,12334,8274,4481,0.3633046862331766,2.819109292723697,3.404409448818898,0.42074514991181655,1748.5216102677296,0.8396715167548501,2909,18168,15540,9425,7161,0.4608108108108108,3.0105677377009257,3.7157098659333103,0.43540564373897706
deepseek_moe_16b,fp16,16,mmlu,120,370,1792,0.20647321428571427,0.4062708155769441,15.557549022965961,50.0,5431.303823620079,0.38132716049382714,12027,2325.606468973993,0.7661008230452675,4547,13803,9537,7023,2183,0.2288979763028206,2.335435464288269,2.6450406861667033,0.38477366255144035,2099.7731356406603,0.7939814814814815,4005,18519,14795,7285,5434,0.36728624535315985,2.586614587753042,3.0029962546816478,0.41265432098765437,1908.523135640661,0.8175925925925925,3546,21379,18114,8439,8126,0.4486032902727172,2.8458150295342772,3.3917089678510997,0.4362654320987654
deepseek_moe_16b,fp16,16,wikitext_test,256,370,1792,0.20647321428571427,0.4276515556568349,13.638317024818173,50.0,5304.562684670091,0.39057677469135804,25274,2266.304589172825,0.7670958719135802,9659,29985,20607,14721,5204,0.25253554617363033,2.340622134382296,2.6166269800186353,0.37651909722222215,1992.0858391728261,0.8009500385802469,8255,37423,29449,17655,11476,0.38969065163503,2.6628183285880414,3.0616596002422773,0.4103732638888889,1839.1561516728261,0.8198302469135802,7472,43220,36029,20950,17166,0.4764495267701019,2.8842372518751405,3.382494646680942,0.42925347222222215
deepseek_moe_16b,fp16,32,gsm8k,112,1053,1792,0.5876116071428571,0.41600592700005684,15.980455130338669,50.0,2010.9365742334298,0.8050044091710759,3538,1144.936591405288,0.9133046737213404,1573,3471,2862,12594,694,0.24248777078965758,1.756373749715885,2.249205340114431,0.10830026455026454,1079.7580199767165,0.9213514109347443,1427,4692,4229,16379,1649,0.389926696618586,1.8623955895940398,2.479327259985985,0.11634700176366841,1065.9187342624307,0.9230599647266314,1396,5968,5536,20200,2721,0.4915101156069364,1.8865758801255241,2.5343839541547277,0.11805555555555558
deepseek_moe_16b,fp16,32,mmlu,120,1053,1792,0.5876116071428571,0.45258311016692054,17.260573637706262,50.0,1773.5354882180693,0.8385802469135802,3138,939.5052321925751,0.9430555555555555,1107,3201,3058,30778,1046,0.342053629823414,1.8877334872090832,2.834688346883469,0.1044753086419753,879.0885655259083,0.9505144032921811,962,4370,4372,40701,2184,0.49954254345837146,2.01747077344484,3.261954261954262,0.11193415637860082,903.6718988592417,0.9474794238683127,1021,6213,6156,50022,3608,0.5860948667966212,1.9625878490378066,3.0734573947110677,0.1088991769547325
